character,katz_centrality,harmonic_centrality,hub_score,authority_score,subgraph_centrality,core_number,constraint,community
薛寶釵,0.5175271924299809,0.0,1.0,-0.0,39.09190439200571,1,0.05263157894736842,0
賈寶玉,0.19630341781826866,1.0,-0.0,0.1867088607594936,3.004837073263459,1,1.0,0
林黛玉,0.19630341781826866,1.0,-0.0,0.1835443037974683,3.0048370732634586,1,1.0,0
賈母,0.19630341781826866,1.0,-0.0,0.09493670886075946,3.0048370732634586,1,1.0,0
王夫人,0.19630341781826866,1.0,-0.0,0.09493670886075949,3.0048370732634586,1,1.0,0
史湘雲,0.19630341781826866,1.0,-0.0,0.07278481012658226,3.0048370732634586,1,1.0,0
薛姨媽,0.19630341781826866,1.0,-0.0,0.06645569620253163,3.0048370732634586,1,1.0,0
襲人,0.19630341781826866,1.0,-0.0,0.05696202531645568,3.0048370732634586,1,1.0,0
鳳姐,0.19630341781826866,1.0,-0.0,0.04430379746835442,3.0048370732634586,1,1.0,0
探春,0.19630341781826866,1.0,-0.0,0.03797468354430379,3.0048370732634586,1,1.0,0
香菱,0.19630341781826866,1.0,-0.0,0.037974683544303764,3.0048370732634586,1,1.0,0
李紈,0.19630341781826866,1.0,-0.0,0.03481012658227847,3.0048370732634586,1,1.0,0
鶯兒,0.19630341781826866,1.0,-0.0,0.025316455696202524,3.0048370732634586,1,1.0,0
惜春,0.19630341781826866,1.0,-0.0,0.025316455696202524,3.0048370732634586,1,1.0,0
迎春,0.19630341781826866,1.0,-0.0,0.022151898734177198,3.0048370732634586,1,1.0,0
賈政,0.19630341781826866,1.0,-0.0,0.003164556962025315,3.0048370732634586,1,1.0,0
元春,0.19630341781826866,1.0,-0.0,0.003164556962025319,3.004837073263459,1,1.0,0
鴛鴦,0.19630341781826866,1.0,-0.0,0.003164556962025326,3.004837073263459,1,1.0,0
紫鵑,0.19630341781826866,1.0,-0.0,0.003164556962025326,3.004837073263459,1,1.0,0
晴雯,0.19630341781826866,1.0,-0.0,0.003164556962025317,3.004837073263459,1,1.0,0
